name,Genus
GCF_001298195.1,Haemophilus
GCF_001298205.1,Haemophilus
GCF_001457655.1,Haemophilus
GCF_001460855.1,Actinobacillus
GCF_001510775.1,Pasteurella
GCF_001547775.1,Aggregatibacter
GCF_001578435.1,Pasteurella
GCF_001594245.1,Aggregatibacter
GCF_001594265.1,Aggregatibacter
GCF_001596225.1,Aggregatibacter
GCF_001596235.1,Aggregatibacter
GCF_001596245.1,Aggregatibacter
GCF_001596255.1,Aggregatibacter
GCF_001596305.1,Aggregatibacter
GCF_001596315.1,Aggregatibacter
GCF_001596325.1,Aggregatibacter
GCF_001596335.1,Aggregatibacter
GCF_001596385.1,Aggregatibacter
GCF_001596415.1,Aggregatibacter
GCF_001596425.1,Aggregatibacter
GCF_001596555.1,Mannheimia
GCF_001596565.1,Mannheimia
GCF_001596575.1,Mannheimia
GCF_001596585.1,Mannheimia
GCF_001596635.1,Mannheimia
GCF_001596655.1,Mannheimia
GCF_001596665.1,Mannheimia
GCF_001596675.1,Mannheimia
GCF_001596715.1,Mannheimia
GCF_001596735.1,Mannheimia
GCF_001611775.1,Haemophilus
GCF_900017145.1,Haemophilus
GCF_900017155.1,Haemophilus
GCF_900020195.1,Haemophilus
GCF_900022475.1,Haemophilus
GCF_900022485.1,Haemophilus
GCF_900022495.1,Haemophilus
GCF_900022505.1,Haemophilus
GCF_900022515.1,Haemophilus
GCF_900022525.1,Haemophilus
GCF_900026975.1,Haemophilus
GCF_900026985.1,Haemophilus
GCF_900026995.1,Haemophilus
GCF_900027005.1,Haemophilus
GCF_900027015.1,Haemophilus
GCF_900029195.1,Haemophilus
GCF_900029205.1,Haemophilus
GCF_900029335.1,Haemophilus
GCF_900029875.1,Haemophilus
GCF_900031505.1,Haemophilus
GCF_900032115.1,Haemophilus
GCF_900034905.1,Haemophilus
GCF_900034915.1,Haemophilus
GCF_900034925.1,Haemophilus
GCF_900034935.1,Haemophilus
GCF_900034945.1,Haemophilus
GCF_900035255.1,Haemophilus
GCF_900035265.1,Haemophilus
GCF_900035275.1,Haemophilus
GCF_900035285.1,Haemophilus
GCF_900035295.1,Haemophilus
GCF_900035525.1,Haemophilus
GCF_900035535.1,Haemophilus
GCF_900036645.1,Haemophilus
GCF_900037345.1,Haemophilus
GCF_900038065.1,Haemophilus
GCF_900039575.1,Haemophilus
GCF_900041425.1,Haemophilus
GCF_900044685.1,Haemophilus
GCF_900044695.1,Haemophilus
GCF_900044735.1,Haemophilus
M25364,JordanLabGenus
